nom_collab,prenom_collab,nom_parlementaire,prenom_parlementaire,id_parlementaire
Lefievre,Fabian,Missoffe,Joséphine,PA795962
Lejeune,Claire,Missoffe,Joséphine,PA795962
Thouin,Laurence,Missoffe,Joséphine,PA795962
Anglars,Guillaume,Rodwell,Charles,PA795528
Teyssandier,Alexandre,Rodwell,Charles,PA795528
Del Castillo,Lucas,Rodwell,Charles,PA795528
RODRIGUES MARTINS,Fabio,Robert-Dehault,Laurence,PA794442
Erre,Pascal,Robert-Dehault,Laurence,PA794442
Brouard,Stéphanie,Robert-Dehault,Laurence,PA794442
Obrador,Damien,Robert-Dehault,Laurence,PA794442
Netoudykata,Catherine,Chatelain,Cyrielle,PA794008
Loiseleur,Esther,Chatelain,Cyrielle,PA794008
Lefèvre,Léa,Chatelain,Cyrielle,PA794008
Hureau,Marion,Chatelain,Cyrielle,PA794008
Vasque,Perrine,Chatelain,Cyrielle,PA794008
LEDOUX,Alexandre,Joubert,Florence,PA840869
Barateau,Eric,Joubert,Florence,PA840869
Le Calvez,Morgan,Joubert,Florence,PA840869
Lamsika,Sacha,Thillaye,Sabine,PA719822
Sainte-Marie,Alexis,Thillaye,Sabine,PA719822
TAÏEB,Yoann,Thillaye,Sabine,PA719822
Drif,Aurélia,Thiébaut,Vincent,PA722336
Florysiak,Nicolas,Thiébaut,Vincent,PA722336
Virecoulon,Diane,Thiébaut,Vincent,PA722336
Aubin,Léopold,Fouquart,Emmanuel,PA840801
Gonzalez,Gisèle,Fouquart,Emmanuel,PA840801
Nader,Kévin,Fouquart,Emmanuel,PA840801
Angles,Estelle,Lhardit,Laurent,PA840765
FREL-CAZENAVE,Clément,Lhardit,Laurent,PA840765
LYBRECHT,Marie-Line,Lhardit,Laurent,PA840765
Brineau,Rémi,Lhardit,Laurent,PA840765
RAFATI,Nina,Allegret-Pilot,Alexandre,PA841067
Tharreau-Le Tourneux de la Perraudière,Simon,Allegret-Pilot,Alexandre,PA841067
Casano,Nathan,Allegret-Pilot,Alexandre,PA841067
Nicolas,Timothée,Riester,Franck,PA335758
Farrugia,Cécile,Ciotti,Éric,PA330240
ROS,Carine,Ciotti,Éric,PA330240
LANGENFELD,Frédéric,Ciotti,Éric,PA330240
Inard,Gaëtan,Ciotti,Éric,PA330240
Carreno,Ivan,Léaument,Antoine,PA795746
Sartre,Alexandre,Léaument,Antoine,PA795746
Astreide,Suline,Léaument,Antoine,PA795746
Aubert Brielle,Mathis,Léaument,Antoine,PA795746
Cabidoche,Violaine,Mattei,Jean-Paul,PA720728
Malozon,Julie,Mattei,Jean-Paul,PA720728
Sy,Xavier,Mattei,Jean-Paul,PA720728
Garcier,Clarisse,Vaginay,Sophie,PA840657
Decaroli,Agathe,Vaginay,Sophie,PA840657
Boulet,Jérémie,Vaginay,Sophie,PA840657
Mula,Bernard,Galzy,Stéphanie,PA793892
Decocq,Bernard,Galzy,Stéphanie,PA793892
Versanne,Julie,Galzy,Stéphanie,PA793892
Delapierre,Cédric,Galzy,Stéphanie,PA793892
Kayat,Manon,Delpech,Julie,PA794982
Fusil,Ingrid,Delpech,Julie,PA794982
Jarnouën,Aziliz,Delpech,Julie,PA794982
Merhoum,Wassim,Delpech,Julie,PA794982
BARAZER-RITTORE,Alessio,Thomin,Mélanie,PA793816
DUPRAT,Sacha,Thomin,Mélanie,PA793816
Abjean,Rozenne,Thomin,Mélanie,PA793816
David,Alexis,Amard,Gabriel,PA794906
Al Sabty,Baptiste,Amard,Gabriel,PA794906
Suarez,Eva,Amard,Gabriel,PA794906
Asselot,Samir,Amard,Gabriel,PA794906
Khaled,Rayane,Amard,Gabriel,PA794906
