nom_collab,prenom_collab,nom_parlementaire,prenom_parlementaire,id_parlementaire
Billy,Lucien,Rietmann,Olivier,OLIVIERRIETMANN
Bissery,Jocelyn,Patient,Georges,GEORGESPATIENT
Bissiere,Michel,Milon,Alain,ALAINMILON
Blain,Christa,Billon,Annick,ANNICKBILLON
Blanchot,Juliette,Canalès,Marion,MARIONCANALES
Blandin,Christelle,Chauvet,Patrick,PATRICKCHAUVET
Blick,Alexia,Szpiner,Francis,FRANCISSZPINER
Blin,Christine,Capus,Emmanuel,EMMANUELCAPUS
Blouin,Coline,Capus,Emmanuel,EMMANUELCAPUS
Blouin,Coline,Bourcier,Corinne,CORINNEBOURCIER
Bocquet,Thomas,Senée,Ghislaine,GHISLAINESENEE
Boichot,Caroline,Cambon,Christian,CHRISTIANCAMBON
Boillot,Julie,Bonnus,Michel,MICHELBONNUS
Boillot,Julie,Bacci,Jean,JEANBACCI
Bondal,Sabrina,Mouiller,Philippe,PHILIPPEMOUILLER
Bonnard,Joséphine,Guhl,Antoinette,ANTOINETTEGUHL
Bonnefous,Eric,Chevrollier,Guillaume,GUILLAUMECHEVROLLIER
Bonnefous,Eric,Savin,Michel,MICHELSAVIN
Bonze,Hélène,Demilly,Stéphane,STEPHANEDEMILLY
Bordelet,Jean-Philippe,Goulet,Nathalie,NATHALIEGOULET
Borie,Agnès,Bazin,Arnaud,ARNAUDBAZIN
Bouchardon,William,Gontard,Guillaume,GUILLAUMEGONTARD
Boucher,Eric,Gréaume,Michelle,MICHELLEGREAUME
Boucher,Thibault,Bélim,Audrey,AUDREYBELIM
Bouchet-clement,Véronique,Patru,Anne-Sophie,ANNESOPHIEPATRU
Bouchoule,Carla,Tabarot,Philippe,PHILIPPETABAROT
Boufflers,Pierre,Apourceau-poly,Cathy,CATHYAPOURCEAUPOLY
Boulay,Eric,Louault,Vincent,VINCENTLOUAULT
Boulay,Marion,Narassiguin,Corinne,CORINNENARASSIGUIN
Boulogne,Mylène,Loisier,Anne-Catherine,ANNECATHERINELOISIER
Bouloumou,Marie-Christine,Laurent,Daniel,DANIELLAURENT
Bounie,Julien,Nougein,Claude,CLAUDENOUGEIN
Bouriez,Bérengère,Lermytte,Marie-Claude,MARIECLAUDELERMYTTE
Bourigault,Alexandre,Gillé,Hervé,HERVEGILLE
Bousser,Chloé,De la provôté,Sonia,SONIADELAPROVOTE
Bouttet,Ludovic,Rochette,Pierre-Jean,PIERREJEANROCHETTE
Bouvier,Anthony,Goy-chavent,Sylvie,SYLVIEGOYCHAVENT
Boyer,Jean-Marc,Cigolotti,Olivier,OLIVIERCIGOLOTTI
Bracq,Thomas,Ouzoulias,Pierre,PIERREOUZOULIAS
Brait,Bénédicte,Varaillas,Marie-Claude,MARIECLAUDEVARAILLAS
Braud,Charlotte,Perrin,Cédric,CEDRICPERRIN
Braud,Charlotte,Rietmann,Olivier,OLIVIERRIETMANN
Braut,Constance,Borchio fontimp,Alexandra,ALEXANDRABORCHIOFONTIMP
Bresson,Hélène,Hervé,Loïc,LOICHERVE
Breuil,Florence,Antoine,Jocelyne,JOCELYNEANTOINE
Breuillot,Laurence,Longeot,Jean-François,JEANFRANCOISLONGEOT
Brianceau-roch,Aurélien,Canalès,Marion,MARIONCANALES
Briant,Astrid,Lévrier,Martin,MARTINLEVRIER
Brilloit,Ninon,Gay,Fabien,FABIENGAY
Brochand,Nathalie,Goy-chavent,Sylvie,SYLVIEGOYCHAVENT
Brookes,Kevin,Aeschlimann,Marie-Do,MARIEDOAESCHLIMANN
Brugiere,Eric,Boyer,Jean-Marc,JEANMARCBOYER
Brutinaud-pellereau,Romain,Patru,Anne-Sophie,ANNESOPHIEPATRU
Buch,Mariam,Billon,Annick,ANNICKBILLON
Buch,Mariam,Pillefer,Bernard,BERNARDPILLEFER
Cadet,Betty,Daubresse,Marc-Philippe,MARCPHILIPPEDAUBRESSE
Caille,Adrien,Grosvalet,Philippe,PHILIPPEGROSVALET
Caille,Fanny,Rietmann,Olivier,OLIVIERRIETMANN
Calka,Avril,Senée,Ghislaine,GHISLAINESENEE
Calmels,Jérôme,Fichet,Jean-Luc,JEANLUCFICHET
Cami,Sarah,Paoli-gagin,Vanina,VANINAPAOLIGAGIN
Capo ortega,Julie,Folliot,Philippe,PHILIPPEFOLLIOT
Carcy-mathieu,Céline,Raynal,Claude,CLAUDERAYNAL
Cardot,Emilie,Joyandet,Alain,ALAINJOYANDET
Caristan,Guillaume,Genet,Fabien,FABIENGENET
Caristan,Guillaume,Rojouan,Bruno,BRUNOROJOUAN
Carlotti,Marie-Claire,Boyer,Valérie,VALERIEBOYER
Caro,Aurore,Martin,Pauline,PAULINEMARTIN
Carpin,Samuel,Briquet,Isabelle,ISABELLEBRIQUET
Carpin,Samuel,Raynal,Claude,CLAUDERAYNAL
Carre,Laure-Emmanuelle,Redon-sarrazy,Christian,CHRISTIANREDONSARRAZY
Carre,Laure-Emmanuelle,Artigalas,Viviane,VIVIANEARTIGALAS
Carton,Michel,Szczurek,Christopher,CHRISTOPHERSZCZUREK
Caruana,Grégory,Paumier,Jean-Gérard,JEANGERARDPAUMIER
Cauvin,Valérie,Le gleut,Ronan,RONANLEGLEUT
Cazaubon,Gabriel,Lozach,Jean-Jacques,JEANJACQUESLOZACH
Celerier,Clémence,Varaillas,Marie-Claude,MARIECLAUDEVARAILLAS
Ceugniez,Marlène,Chatillon,Alain,ALAINCHATILLON
Ceyrac,Rémi,Chasseing,Daniel,DANIELCHASSEING
Champenois,Laetitia,Cozic,Thierry,THIERRYCOZIC
Chanteclerc,Benjamin,Husson,Jean-François,JEANFRANCOISHUSSON
Chan tsun ching,Bradley,Fouassin,Stéphane,STEPHANEFOUASSIN
Charbonnel,Damien,Brault,Jean-Luc,JEANLUCBRAULT
Charbonnier,Sylvain,Cardon,Rémi,REMICARDON
Charles-lavauzelle,Inès,Lavarde,Christine,CHRISTINELAVARDE
Charles-lavauzelle,Inès,Rapin,Jean-François,JEANFRANCOISRAPIN
Charlon,Fabien,Havet,Nadège,NADEGEHAVET
Chateau,Amélie,Malhuret,Claude,CLAUDEMALHURET
Chauvin,Sarah,Boyer,Jean-Marc,JEANMARCBOYER
Chavane,Aude,Bellamy,Marie-Jeanne,MARIEJEANNEBELLAMY
Chenouf,Ibrahim,Blanc,Grégory,GREGORYBLANC
Cherbonnel,Agnès,Jacques,Micheline,MICHELINEJACQUES
Chevalerias,Thomas,Bonneau,François,FRANCOISBONNEAU
Chevallier,Aurélien,Pla,Sébastien,SEBASTIENPLA
Chevallier,Aurore,Lemoyne,Jean-Baptiste,JEANBAPTISTELEMOYNE
Chevillard,Christine,Cukierman,Cécile,CECILECUKIERMAN
Cheze,Diane,Bouchet,Gilbert,GILBERTBOUCHET
Christon,Isabelle,Théophile,Dominique,DOMINIQUETHEOPHILE
Christon,Isabelle,Nadille,Solanges,SOLANGESNADILLE
Ciccotti,Steve,Karoutchi,Roger,ROGERKAROUTCHI
Claoue,Mathieu,Bonnefoy,Nicole,NICOLEBONNEFOY
Claoue,Mathieu,Masset,Michel,MICHELMASSET
Clotilde,Marie Mathilde,Théophile,Dominique,DOMINIQUETHEOPHILE
Cochet,Brigitte,Roux,Jean-Yves,JEANYVESROUX
Cohen,Claude-Léa,Conway-mouret,Hélène,HELENECONWAYMOURET
Coisgaud,Jessica,Bourcier,Corinne,CORINNEBOURCIER
Coisgaud,Jessica,Capus,Emmanuel,EMMANUELCAPUS
Colisson,Laurence,Gacquerre,Amel,AMELGACQUERRE
Collas,Emilie,Marie,Didier,DIDIERMARIE
Collet-robic,Cécile,Varaillas,Marie-Claude,MARIECLAUDEVARAILLAS
Collin,Nadine,Maurey,Hervé,HERVEMAUREY
Combes-boulard,Florence,Cabanel,Henri,HENRICABANEL
Comtet,Flavie,Chaize,Patrick,PATRICKCHAIZE
Constance,Catherine,Vidal,Paul,PAULVIDAL
Corme,Véronique,Laménie,Marc,MARCLAMENIE
Cornetto,Jean-Christophe,Housseau,Marie-Lise,MARIELISEHOUSSEAU
Costantini,Arnaud,Panunzi,Jean-Jacques,JEANJACQUESPANUNZI
Cotillot,Annouck,Patriat,François,FRANCOISPATRIAT
Couderc moneron,Annie,Bilhac,Christian,CHRISTIANBILHAC
Coue,Emilie,Bleunven,Yves,YVESBLEUNVEN
Coulanjon,Sandrine,Gold,Éric,ERICGOLD
Coutable,Charlotte,Chevrollier,Guillaume,GUILLAUMECHEVROLLIER
Coutard,Paul,Weber,Michaël,MICHAELWEBER
Couturier,Ronan,Bellamy,Marie-Jeanne,MARIEJEANNEBELLAMY
Cresp,Delphine,Blanc,Jean-Baptiste,JEANBAPTISTEBLANC
Crespeau,Karine,Bourcier,Corinne,CORINNEBOURCIER
Crevoisier,Michel,Grosperrin,Jacques,JACQUESGROSPERRIN
Croyet,Maryline,Stanzione,Lucien,LUCIENSTANZIONE
Cubaynes,Michèle,Bonhomme,François,FRANCOISBONHOMME
Cuny,Catherine,Schalck,Elsa,ELSASCHALCK
Curier,Fred,Lurel,Victorin,VICTORINLUREL
Dahel,Ehli-Alexandre,Vanlerenberghe,Jean-Marie,JEANMARIEVANLERENBERGHE
D'alexis,Leïli,Nadille,Solanges,SOLANGESNADILLE
Daniel,Sandrine,Hugonet,Jean-Raymond,JEANRAYMONDHUGONET
Darinot,Alexandra,Gerbaud,Frédérique,FREDERIQUEGERBAUD
D'asta,Nicolas,Iacovelli,Xavier,XAVIERIACOVELLI
Daumas,Marie-Christine,Chatillon,Alain,ALAINCHATILLON
David,Stéphane,Tabarot,Philippe,PHILIPPETABAROT
David,Thierry,Darcos,Laure,LAUREDARCOS
Davrain,Nessa,Buval,Frédéric,FREDERICBUVAL
Dayras,Alexandra,Piednoir,Stéphane,STEPHANEPIEDNOIR
Deau,Myriam,Mandelli,Didier,DIDIERMANDELLI
Debains,Marie-Noëlle,Jourda,Muriel,MURIELJOURDA
Debray,Isabelle,De cidrac,Marta,MARTADECIDRAC
Debre chaffaud,Claire,Louault,Vincent,VINCENTLOUAULT
